# Bright Stars Catalog (V < 6.0)
# Source: Hipparcos, converted to J2000 (github.com/gmiller123456/hip2000)
# Format: HIP_ID,Vmag,RA_deg,Dec_deg
# Total stars: 4992
88,5.71,0.269093,-48.809876
107,5.53,0.333830,-50.337373
122,4.78,0.398766,-77.065724
124,5.58,0.404231,61.222801
145,5.13,0.456035,-3.027504
154,4.37,0.490079,-6.014072
171,5.80,0.542313,27.082256
183,5.04,0.583003,-29.720414
194,5.70,0.623759,8.485463
207,5.87,0.650362,66.098966
301,4.55,0.934958,-17.335988
330,5.90,1.056927,62.287664
343,5.78,1.082475,-16.529036
355,4.99,1.125494,-10.509523
377,5.59,1.172117,-71.436891
379,5.68,1.174922,67.166445
418,5.80,1.275625,61.313970
443,4.61,1.333920,-5.707618
476,5.55,1.424839,13.396266
518,5.98,1.565893,58.436733
522,5.70,1.579898,-49.075191
531,5.57,1.610583,64.196169
636,5.93,1.945416,-22.508560
655,5.67,2.014531,-33.529326
671,5.99,2.073052,-8.824112
677,2.07,2.096911,29.090432
729,5.57,2.260103,18.211963
746,2.28,2.294521,59.149780
761,5.42,2.337786,-27.987928
765,3.88,2.352675,-45.747426
813,5.54,2.509176,11.145813
814,5.29,2.509065,-82.224047
840,5.84,2.578624,-5.248588
841,5.01,2.580191,46.072272
873,5.84,2.678478,-12.579897
910,4.89,2.816072,-15.467977
930,5.41,2.893417,-27.799737
950,5.24,2.933369,-35.133120
983,5.29,3.041608,-17.938278
1067,2.83,3.308970,15.183596
1074,5.78,3.331758,-84.993978
1086,5.71,3.378502,41.035370
1096,5.94,3.426020,-26.022345
1158,5.13,3.615118,-7.780532
1168,4.79,3.650685,20.206702
1170,4.44,3.660067,-18.932866
1191,5.77,3.727145,-9.569571
1288,5.66,4.036943,-31.446394
1354,5.74,4.237681,61.533186
1366,4.61,4.272909,38.681636
1372,5.86,4.287682,47.947405
1473,4.51,4.581904,36.785224
1493,5.88,4.659406,31.517227
1562,3.56,4.856977,-8.823921
1599,4.23,5.017751,-64.874790
1630,5.89,5.101677,30.935614
1645,5.38,5.149423,8.190271
1647,5.50,5.162651,-69.624913
1657,5.79,5.189659,32.911187
1686,5.16,5.280288,37.968603
1706,5.96,5.369920,-77.426873
1708,5.18,5.379992,-28.981469
1728,5.61,5.442807,-20.058024
1921,5.58,6.065239,52.019914
1960,5.38,6.197939,61.831058
1982,5.72,6.276711,53.046786
2006,5.77,6.350868,1.939692
2021,2.82,6.437800,-77.254246
2072,3.93,6.550841,-43.679830
2081,2.40,6.571046,-42.305982
2159,5.99,6.811285,-25.547170
2210,4.86,6.982077,-33.007167
2219,5.01,7.012146,17.893125
2225,5.18,7.056891,44.394452
2240,5.42,7.110504,-39.915002
2353,5.72,7.509825,-3.957332
2355,5.20,7.530688,29.751557
2377,5.94,7.583053,59.977554
2381,5.17,7.594392,-23.787680
2383,5.67,7.608824,-48.214910
2472,4.76,7.854086,-48.803514
2475,5.88,7.856832,33.581642
2484,4.36,7.886111,-62.958218
2487,4.53,7.889450,-62.965561
2497,5.59,7.921490,52.839526
2505,4.74,7.943162,54.522289
2548,5.69,8.099091,6.955463
2568,5.38,8.147858,20.294316
2578,5.07,8.182938,-63.031500
2599,4.17,8.249965,62.931783
2611,5.93,8.293311,54.894985
2661,5.55,8.421010,-29.558278
2711,5.57,8.615970,-52.373090
2762,5.20,8.811997,-3.592846
2787,5.94,8.886806,-0.505610
2802,5.51,8.921567,-48.000907
2854,5.08,9.034627,54.168450
2876,5.78,9.113940,60.326215
2900,5.14,9.193504,44.488587
2903,5.89,9.197135,15.231725
2912,4.34,9.220207,33.719344
2920,3.69,9.242853,53.896909
2941,5.57,9.336253,-24.767267
2942,5.45,9.338414,35.399501
3031,4.34,9.638941,29.311751
3083,5.45,9.791225,49.354589
3092,3.27,9.831982,30.861024
3093,5.88,9.840859,21.250472
3138,5.36,9.981549,21.438495
3170,5.89,10.106958,-59.454604
3179,2.24,10.126835,56.537331
3193,5.90,10.176551,-4.351841
3231,5.30,10.279936,39.458664
3245,4.59,10.331465,-46.085007
3277,5.72,10.443322,-56.501316
3299,5.83,10.514257,66.147592
3300,4.80,10.516231,50.512526
3330,5.38,10.618221,-65.468030
3352,5.99,10.674791,-60.262808
3405,4.36,10.838494,-57.463060
3414,4.95,10.866957,47.024546
3419,2.04,10.897379,-17.986605
3455,4.77,11.047506,-10.609550
3456,5.90,11.050414,-38.421686
3478,5.66,11.109132,47.863984
3504,4.48,11.181324,48.284364
3505,5.22,11.184982,-22.006135
3521,5.94,11.237721,-42.676558
3544,5.41,11.321560,55.221396
3572,5.64,11.412824,74.988073
3583,5.80,11.439971,-47.551985
3607,5.49,11.548974,-22.522097
3632,5.36,11.637326,15.475504
3675,5.51,11.756077,11.973849
3693,4.08,11.834689,24.267178
3697,5.98,11.848466,6.740956
3717,5.70,11.930084,-18.061339
3721,5.42,11.941889,74.847573
3741,5.57,12.004444,-21.722492
3750,5.86,12.038073,72.674482
3760,5.92,12.072542,7.299928
3765,5.74,12.095738,5.280615
3781,5.09,12.147572,-74.923438
3786,4.44,12.170601,7.585079
3801,4.90,12.208422,50.968168
3810,5.07,12.244618,16.940644
3821,3.46,12.276213,57.815187
3834,5.90,12.308117,-24.136672
3849,5.59,12.356732,-13.561274
3881,4.53,12.453530,41.078911
3885,5.55,12.471524,27.710286
3909,5.17,12.531629,-10.644326
3949,5.24,12.671610,-50.986816
3951,5.35,12.681716,64.247550
4104,5.47,13.169270,-24.005844
4147,4.78,13.252060,-1.144260
4151,4.80,13.267486,61.123970
4200,5.73,13.407808,-62.871352
4267,5.80,13.646778,19.188417
4283,5.59,13.721223,83.707436
4288,5.46,13.742113,23.628335
4292,4.83,13.750652,58.972698
4293,5.45,13.751302,-69.527084
4346,5.88,13.926667,-7.347149
4371,5.35,14.006209,-11.266526
4422,4.62,14.166271,59.181056
4427,2.15,14.177216,60.716740
4436,3.86,14.188381,38.499345
4440,5.56,14.195722,60.362836
4463,4.40,14.301667,23.417648
4510,5.44,14.458966,28.992217
4552,5.99,14.559246,33.950885
4572,5.97,14.629426,66.351793
4577,4.30,14.651504,-29.357449
4587,5.62,14.682782,-11.379975
4675,5.69,15.014830,44.713243
4770,5.59,15.326149,-38.916527
4852,5.50,15.610138,-31.552005
4889,5.50,15.704572,31.804263
4890,5.39,15.704958,-46.397311
4903,5.95,15.726095,41.345157
4906,4.27,15.735868,7.890135
4914,5.40,15.760567,-4.836601
4962,5.92,15.904190,61.074823
4998,5.99,16.009956,52.502161
5021,5.83,16.081046,61.580184
5081,5.64,16.272315,14.946133
5131,5.33,16.420647,21.473181
