# IAU Constellation Boundaries (J2000.0)
# Format: RA1,Dec1,RA2,Dec2 (degrees) - line segments
# Source: IAU/Sky & Telescope, converted to J2000.0
# Each row defines one boundary segment
0.0,-90.0,30.0,-90.0
30.0,-90.0,60.0,-90.0
60.0,-90.0,90.0,-90.0
90.0,-90.0,120.0,-90.0
120.0,-90.0,150.0,-90.0
150.0,-90.0,180.0,-90.0
180.0,-90.0,210.0,-90.0
210.0,-90.0,240.0,-90.0
240.0,-90.0,270.0,-90.0
270.0,-90.0,300.0,-90.0
300.0,-90.0,330.0,-90.0
330.0,-90.0,360.0,-90.0
# Andromeda
352.62917,-37.33333,352.62917,-24.00000
352.62917,-24.00000,0.00000,-24.00000
0.00000,-24.00000,0.00000,-21.06611
0.00000,21.06611,351.45417,21.02444
351.45417,21.02444,351.45417,35.00000
351.45417,35.00000,0.00000,35.16750
0.00000,35.16750,0.00000,50.50000
0.00000,50.50000,2.56667,50.50000
2.56667,50.50000,2.56667,53.18806
9.73750,53.18806,9.73750,48.00000
9.73750,48.00000,12.24583,48.00000
12.24583,48.00000,12.24583,44.00000
12.24583,44.00000,22.87083,44.00000
22.87083,44.00000,22.87083,46.00000
22.87083,46.00000,26.02083,46.00000
26.02083,46.00000,26.02083,50.50000
26.02083,50.50000,28.07917,50.50000
28.07917,50.50000,28.07917,53.50000
# Antlia
144.47083,-24.50000,144.47083,-40.00000
144.47083,-40.00000,157.50000,-40.00000
157.50000,-40.00000,157.50000,-37.00000
157.50000,-37.00000,151.88750,-37.00000
151.88750,-37.00000,151.88750,-24.50000
151.88750,-24.50000,144.47083,-24.50000
# Apus
195.00000,-90.00000,270.00000,-90.00000
270.00000,-90.00000,270.00000,-82.50000
270.00000,-82.50000,276.25000,-82.50000
276.25000,-82.50000,276.25000,-75.00000
276.25000,-75.00000,280.00000,-75.00000
280.00000,-75.00000,280.00000,-67.50000
280.00000,-67.50000,195.00000,-67.50000
195.00000,-67.50000,195.00000,-90.00000
# Aquarius
311.25000,-24.50000,311.25000,-8.00000
311.25000,-8.00000,320.00000,-8.00000
320.00000,-8.00000,320.00000,0.00000
320.00000,0.00000,330.00000,0.00000
330.00000,0.00000,330.00000,2.50000
330.00000,2.50000,340.00000,2.50000
340.00000,2.50000,340.00000,-6.00000
340.00000,-6.00000,357.50000,-6.00000
357.50000,-6.00000,357.50000,-24.50000
357.50000,-24.50000,311.25000,-24.50000
# Aquila
275.00000,-12.03333,275.00000,-4.00000
275.00000,-4.00000,280.00000,-4.00000
280.00000,-4.00000,280.00000,2.50000
280.00000,2.50000,285.00000,2.50000
285.00000,2.50000,285.00000,8.50000
285.00000,8.50000,297.50000,8.50000
297.50000,8.50000,297.50000,18.50000
297.50000,18.50000,305.00000,18.50000
305.00000,18.50000,305.00000,2.50000
305.00000,2.50000,300.00000,2.50000
300.00000,2.50000,300.00000,-12.03333
300.00000,-12.03333,275.00000,-12.03333
# Ara
252.50000,-45.50000,252.50000,-60.00000
252.50000,-60.00000,262.50000,-60.00000
262.50000,-60.00000,262.50000,-67.50000
262.50000,-67.50000,270.00000,-67.50000
270.00000,-67.50000,270.00000,-55.00000
270.00000,-55.00000,262.50000,-55.00000
262.50000,-55.00000,262.50000,-45.50000
262.50000,-45.50000,252.50000,-45.50000
# Aries
25.00000,10.00000,25.00000,20.00000
25.00000,20.00000,35.00000,20.00000
35.00000,20.00000,35.00000,31.00000
35.00000,31.00000,50.00000,31.00000
50.00000,31.00000,50.00000,25.50000
50.00000,25.50000,52.50000,25.50000
52.50000,25.50000,52.50000,10.00000
52.50000,10.00000,25.00000,10.00000
# Auriga
72.50000,28.00000,72.50000,36.00000
72.50000,36.00000,75.00000,36.00000
75.00000,36.00000,75.00000,40.00000
75.00000,40.00000,77.50000,40.00000
77.50000,40.00000,77.50000,44.50000
77.50000,44.50000,80.00000,44.50000
80.00000,44.50000,80.00000,56.00000
80.00000,56.00000,112.50000,56.00000
112.50000,56.00000,112.50000,44.50000
112.50000,44.50000,102.50000,44.50000
102.50000,44.50000,102.50000,28.00000
102.50000,28.00000,72.50000,28.00000
# Bootes
195.00000,7.50000,195.00000,20.00000
195.00000,20.00000,200.00000,20.00000
200.00000,20.00000,200.00000,30.00000
200.00000,30.00000,213.75000,30.00000
213.75000,30.00000,213.75000,40.00000
213.75000,40.00000,217.50000,40.00000
217.50000,40.00000,217.50000,55.00000
217.50000,55.00000,232.50000,55.00000
232.50000,55.00000,232.50000,46.00000
232.50000,46.00000,227.50000,46.00000
227.50000,46.00000,227.50000,28.00000
227.50000,28.00000,222.50000,28.00000
222.50000,28.00000,222.50000,7.50000
222.50000,7.50000,195.00000,7.50000
# Caelum
65.00000,-27.00000,65.00000,-40.00000
65.00000,-40.00000,75.00000,-40.00000
75.00000,-40.00000,75.00000,-49.00000
75.00000,-49.00000,67.50000,-49.00000
67.50000,-49.00000,67.50000,-27.00000
67.50000,-27.00000,65.00000,-27.00000
# Camelopardalis
52.50000,52.50000,52.50000,60.00000
52.50000,60.00000,56.25000,60.00000
56.25000,60.00000,56.25000,68.00000
56.25000,68.00000,60.00000,68.00000
60.00000,68.00000,60.00000,79.50000
60.00000,79.50000,105.00000,79.50000
105.00000,79.50000,105.00000,86.50000
105.00000,86.50000,210.00000,86.50000
210.00000,86.50000,210.00000,80.00000
210.00000,80.00000,140.00000,80.00000
140.00000,80.00000,140.00000,68.00000
140.00000,68.00000,120.00000,68.00000
120.00000,68.00000,120.00000,56.00000
120.00000,56.00000,80.00000,56.00000
80.00000,56.00000,80.00000,52.50000
80.00000,52.50000,52.50000,52.50000
# Cancer
119.47083,6.46833,119.47083,10.00000
119.47083,10.00000,125.00000,10.00000
125.00000,10.00000,125.00000,15.00000
125.00000,15.00000,130.00000,15.00000
130.00000,15.00000,130.00000,33.00000
130.00000,33.00000,140.00000,33.00000
140.00000,33.00000,140.00000,10.00000
140.00000,10.00000,133.00000,10.00000
133.00000,10.00000,133.00000,6.46833
133.00000,6.46833,119.47083,6.46833
# Canis Major
93.75000,-11.00000,93.75000,-27.00000
93.75000,-27.00000,102.50000,-27.00000
102.50000,-27.00000,102.50000,-33.00000
102.50000,-33.00000,112.50000,-33.00000
112.50000,-33.00000,112.50000,-27.00000
112.50000,-27.00000,105.00000,-27.00000
105.00000,-27.00000,105.00000,-11.00000
105.00000,-11.00000,93.75000,-11.00000
# Canis Minor
109.22500,0.22500,109.22500,5.00000
109.22500,5.00000,112.50000,5.00000
112.50000,5.00000,112.50000,13.00000
112.50000,13.00000,122.00000,13.00000
122.00000,13.00000,122.00000,0.22500
122.00000,0.22500,109.22500,0.22500
# Capricornus
300.00000,-12.03333,300.00000,-27.50000
300.00000,-27.50000,330.00000,-27.50000
330.00000,-27.50000,330.00000,-8.00000
330.00000,-8.00000,320.00000,-8.00000
320.00000,-8.00000,320.00000,-12.03333
320.00000,-12.03333,300.00000,-12.03333
# Carina
125.00000,-51.00000,125.00000,-64.00000
125.00000,-64.00000,150.00000,-64.00000
150.00000,-64.00000,150.00000,-75.00000
150.00000,-75.00000,165.00000,-75.00000
165.00000,-75.00000,165.00000,-57.00000
165.00000,-57.00000,157.50000,-57.00000
157.50000,-57.00000,157.50000,-51.00000
157.50000,-51.00000,125.00000,-51.00000
# Cassiopeia
0.00000,46.50000,0.00000,59.00000
0.00000,59.00000,10.00000,59.00000
10.00000,59.00000,10.00000,66.50000
10.00000,66.50000,50.00000,66.50000
50.00000,66.50000,50.00000,52.50000
50.00000,52.50000,20.00000,52.50000
20.00000,52.50000,20.00000,46.50000
20.00000,46.50000,0.00000,46.50000
# Centaurus
177.50000,-33.00000,177.50000,-42.00000
177.50000,-42.00000,185.00000,-42.00000
185.00000,-42.00000,185.00000,-55.00000
185.00000,-55.00000,205.00000,-55.00000
205.00000,-55.00000,205.00000,-64.00000
205.00000,-64.00000,220.00000,-64.00000
220.00000,-64.00000,220.00000,-42.00000
220.00000,-42.00000,207.50000,-42.00000
207.50000,-42.00000,207.50000,-33.00000
207.50000,-33.00000,177.50000,-33.00000
# Cepheus
300.00000,60.00000,300.00000,70.00000
300.00000,70.00000,308.75000,70.00000
308.75000,70.00000,308.75000,75.00000
308.75000,75.00000,322.50000,75.00000
322.50000,75.00000,322.50000,88.00000
322.50000,88.00000,120.00000,88.00000
120.00000,88.00000,120.00000,68.00000
120.00000,68.00000,105.00000,68.00000
105.00000,68.00000,105.00000,60.00000
105.00000,60.00000,300.00000,60.00000
# Cetus
357.50000,-24.50000,357.50000,-6.00000
357.50000,-6.00000,10.00000,-6.00000
10.00000,-6.00000,10.00000,0.00000
10.00000,0.00000,25.00000,0.00000
25.00000,0.00000,25.00000,10.00000
25.00000,10.00000,40.00000,10.00000
40.00000,10.00000,40.00000,-24.50000
40.00000,-24.50000,357.50000,-24.50000
# Chamaeleon
120.00000,-75.00000,120.00000,-83.00000
120.00000,-83.00000,195.00000,-83.00000
195.00000,-83.00000,195.00000,-75.00000
195.00000,-75.00000,120.00000,-75.00000
# Circinus
210.00000,-55.00000,210.00000,-70.00000
210.00000,-70.00000,232.50000,-70.00000
232.50000,-70.00000,232.50000,-55.00000
232.50000,-55.00000,210.00000,-55.00000
# Columba
75.00000,-27.00000,75.00000,-43.00000
75.00000,-43.00000,95.00000,-43.00000
95.00000,-43.00000,95.00000,-27.00000
95.00000,-27.00000,75.00000,-27.00000
# Coma Berenices
177.50000,14.00000,177.50000,28.00000
177.50000,28.00000,200.00000,28.00000
200.00000,28.00000,200.00000,33.00000
200.00000,33.00000,195.00000,33.00000
195.00000,33.00000,195.00000,14.00000
195.00000,14.00000,177.50000,14.00000
# Corona Australis
270.00000,-37.00000,270.00000,-45.50000
270.00000,-45.50000,287.50000,-45.50000
287.50000,-45.50000,287.50000,-37.00000
287.50000,-37.00000,270.00000,-37.00000
# Corona Borealis
227.50000,26.00000,227.50000,40.00000
227.50000,40.00000,247.50000,40.00000
247.50000,40.00000,247.50000,26.00000
247.50000,26.00000,227.50000,26.00000
# Corvus
177.50000,-12.00000,177.50000,-24.50000
177.50000,-24.50000,192.50000,-24.50000
192.50000,-24.50000,192.50000,-12.00000
192.50000,-12.00000,177.50000,-12.00000
# Crater
162.50000,-6.50000,162.50000,-25.00000
162.50000,-25.00000,177.50000,-25.00000
177.50000,-25.00000,177.50000,-6.50000
177.50000,-6.50000,162.50000,-6.50000
# Crux
177.50000,-55.00000,177.50000,-64.00000
177.50000,-64.00000,195.00000,-64.00000
195.00000,-64.00000,195.00000,-55.00000
195.00000,-55.00000,177.50000,-55.00000
# Cygnus
285.00000,28.00000,285.00000,30.00000
285.00000,30.00000,290.00000,30.00000
290.00000,30.00000,290.00000,35.00000
290.00000,35.00000,295.00000,35.00000
295.00000,35.00000,295.00000,45.00000
295.00000,45.00000,305.00000,45.00000
305.00000,45.00000,305.00000,55.00000
305.00000,55.00000,330.00000,55.00000
330.00000,55.00000,330.00000,45.00000
330.00000,45.00000,325.00000,45.00000
325.00000,45.00000,325.00000,28.00000
325.00000,28.00000,285.00000,28.00000
# Delphinus
303.75000,2.50000,303.75000,20.00000
303.75000,20.00000,315.00000,20.00000
315.00000,20.00000,315.00000,2.50000
315.00000,2.50000,303.75000,2.50000
# Dorado
60.00000,-49.00000,60.00000,-70.00000
60.00000,-70.00000,90.00000,-70.00000
